s, numComparisons, ,s,min
882,224849, ,,
883,230285, ,,
884,239501, ,,
885,225808, ,,
886,230275, ,,
887,235209, ,,
888,229318, ,,
889,229120, ,,
890,234358, ,,
891,225589, ,,
892,238976, ,,
893,226948, ,,
894,226783, ,,
895,227054, ,,
896,231901, ,,
897,237031, ,,
898,218619, ,,
899,232960, ,,
900,231639, ,,
901,238892, ,,
902,231485, ,,
903,231816, ,,
904,225098, ,,
905,225727, ,,
906,236673, ,,
907,224798, ,,
908,221565, ,,
909,231872, ,,
910,238643, ,,
911,228304, ,,
912,237748, ,,
913,236911, ,,
914,234090, ,,
915,231577, ,,
916,243394, ,,
917,228426, ,,
918,220899, ,,
919,226445, ,,
920,229674, ,,
921,225123, ,,
922,234117, ,,
923,224789, ,,
924,228916, ,,
925,234548, ,,
926,227169, ,,
927,242784, ,,
928,230797, ,,
929,236197, ,,
930,230443, ,,
931,237861, ,,
932,226671, ,,
933,231512, ,,
934,226768, ,,
935,226103, ,,
936,234859, ,,
937,244364, ,,
938,235818, ,,
939,239296, ,,
940,227925, ,,
941,225363, ,,
942,228737, ,,
943,234419, ,,
944,229307, ,,
945,229911, ,,
946,215796, ,,
947,241007, ,,
948,225297, ,,
949,234253, ,,
950,233204, ,,
951,240784, ,,
952,235422, ,,
953,229212, ,,
954,218877, ,,
955,244173, ,,
956,235140, ,,
957,227555, ,,
958,231449, ,,
959,229178, ,,
960,227080, ,,
961,233193, ,,
962,230588, ,,
963,237120, ,,
964,232034, ,,
965,222911, ,,
966,232423, ,,
967,227294, ,,
968,232468, ,,
969,230492, ,,
970,235326, ,,
971,231384, ,,
972,225025, ,,
973,228917, ,,
974,225648, ,,
975,227463, ,,
976,235835, ,,
977,229899, ,,
978,233797, ,,
979,229072, ,,
980,229752, ,,
981,228166, ,,
982,230913, ,,
983,221079, ,,
984,229806, ,,
985,231861, ,,
986,227452, ,,
987,227774, ,,
988,231001, ,,
989,223959, ,,
990,234735, ,,
991,233473, ,,
992,229088, ,,
993,238204, ,,
994,234976, ,,
995,235614, ,,
996,233186, ,,
997,245183, ,,
998,233993, ,,
999,226155, ,,
1000,228689, ,,
